quarter,year,community,tier,transactions,median_psf,qoq_change_pct,median_price_aed,total_volume_aed,avg_roi_pct,off_plan_share_pct,avg_area_sqft
Q1 2022,2022,Palm Jumeirah,Luxury,85,3367.0,,3863000.0,417970000,3.78,52.9,1464.0
Q2 2022,2022,Palm Jumeirah,Luxury,69,3312.0,-1.61,3937000.0,317622000,3.76,44.9,1378.0
Q3 2022,2022,Palm Jumeirah,Luxury,71,3600.0,8.69,3681000.0,389716000,3.79,47.9,1532.0
Q4 2022,2022,Palm Jumeirah,Luxury,82,3265.0,-9.32,3321000.0,388693000,3.84,43.9,1464.0
Q1 2023,2023,Palm Jumeirah,Luxury,91,3693.0,13.13,4177000.0,499064000,3.79,39.6,1512.0
Q2 2023,2023,Palm Jumeirah,Luxury,74,3688.0,-0.15,4030000.0,385820000,3.79,58.1,1415.0
Q3 2023,2023,Palm Jumeirah,Luxury,68,3958.0,7.33,6126000.0,453464000,3.79,45.6,1668.0
Q4 2023,2023,Palm Jumeirah,Luxury,78,4153.0,4.93,3834000.0,493813000,3.84,55.1,1553.0
Q1 2024,2024,Palm Jumeirah,Luxury,78,3976.0,-4.27,4201000.0,488439000,3.79,56.4,1565.0
Q2 2024,2024,Palm Jumeirah,Luxury,77,4461.0,12.2,4159000.0,444522000,3.81,53.2,1303.0
Q3 2024,2024,Palm Jumeirah,Luxury,69,4151.0,-6.95,4133000.0,415899000,3.83,52.2,1444.0
Q4 2024,2024,Palm Jumeirah,Luxury,91,4137.0,-0.35,4453000.0,552033000,3.76,53.8,1479.0
Q1 2022,2022,Downtown Dubai,Premium,200,2771.0,,2843000.0,740641000,4.98,44.0,1347.0
Q2 2022,2022,Downtown Dubai,Premium,178,2841.0,2.52,3069000.0,728357000,4.97,47.8,1449.0
Q3 2022,2022,Downtown Dubai,Premium,204,2848.0,0.25,2813000.0,841290000,4.99,46.1,1449.0
Q4 2022,2022,Downtown Dubai,Premium,190,2999.0,5.29,3294000.0,876435000,4.99,47.9,1528.0
Q1 2023,2023,Downtown Dubai,Premium,155,3061.0,2.08,3259000.0,729151000,4.97,52.9,1533.0
Q2 2023,2023,Downtown Dubai,Premium,178,3275.0,6.98,3594000.0,901010000,4.99,48.9,1560.0
Q3 2023,2023,Downtown Dubai,Premium,196,3324.0,1.5,3833000.0,993141000,5.01,48.0,1529.0
Q4 2023,2023,Downtown Dubai,Premium,195,3305.0,-0.57,3683000.0,966997000,5.0,52.3,1496.0
Q1 2024,2024,Downtown Dubai,Premium,166,3461.0,4.7,3516000.0,809274000,4.99,53.0,1435.0
Q2 2024,2024,Downtown Dubai,Premium,184,3524.0,1.82,3840000.0,985089000,4.98,59.2,1515.0
